"date","users","newUsers","users_cumsum","month_start_users"
2019-12-01,7,6,7,7
2019-12-02,8,7,15,NA
2019-12-03,16,16,31,NA
2019-12-04,22,19,53,NA
2019-12-05,14,12,67,NA
2019-12-06,10,10,77,NA
2019-12-07,10,10,87,NA
2019-12-08,20,19,107,NA
2019-12-09,25,23,132,NA
2019-12-10,12,10,144,NA
2019-12-11,14,12,158,NA
2019-12-12,15,12,173,NA
2019-12-13,17,17,190,NA
2019-12-14,22,20,212,NA
2019-12-15,28,27,240,NA
2019-12-16,32,28,272,NA
2019-12-17,29,26,301,NA
2019-12-18,31,30,332,NA
2019-12-19,35,30,367,NA
2019-12-20,33,31,400,NA
2019-12-21,36,32,436,NA
2019-12-22,47,40,483,NA
2019-12-23,37,35,520,NA
2019-12-24,21,18,541,NA
2019-12-25,38,34,579,NA
2019-12-26,62,56,641,NA
2019-12-27,56,51,697,NA
2019-12-28,79,72,776,NA
2019-12-29,73,65,849,NA
2019-12-30,60,58,909,NA
2019-12-31,38,35,947,NA
2020-01-01,99,92,1046,1046
2020-01-02,126,113,1172,NA
2020-01-03,107,90,1279,NA
2020-01-04,119,104,1398,NA
2020-01-05,154,137,1552,NA
2020-01-06,128,111,1680,NA
2020-01-07,146,130,1826,NA
2020-01-08,123,109,1949,NA
2020-01-09,116,103,2065,NA
2020-01-10,100,93,2165,NA
2020-01-11,122,115,2287,NA
2020-01-12,179,163,2466,NA
2020-01-13,173,154,2639,NA
2020-01-14,117,103,2756,NA
2020-01-15,107,95,2863,NA
2020-01-16,144,114,3007,NA
2020-01-17,118,98,3125,NA
2020-01-18,104,92,3229,NA
2020-01-19,144,128,3373,NA
2020-01-20,141,129,3514,NA
2020-01-21,152,133,3666,NA
2020-01-22,128,109,3794,NA
2020-01-23,140,115,3934,NA
2020-01-24,110,89,4044,NA
2020-01-25,117,101,4161,NA
2020-01-26,139,126,4300,NA
2020-01-27,112,98,4412,NA
2020-01-28,127,112,4539,NA
2020-01-29,133,119,4672,NA
2020-01-30,124,108,4796,NA
2020-01-31,104,88,4900,NA
2020-02-01,91,79,4991,4991
2020-02-02,131,112,5122,NA
2020-02-03,145,132,5267,NA
2020-02-04,176,162,5443,NA
2020-02-05,127,112,5570,NA
2020-02-06,104,96,5674,NA
2020-02-07,120,106,5794,NA
2020-02-08,93,78,5887,NA
2020-02-09,130,112,6017,NA
2020-02-10,175,154,6192,NA
2020-02-11,178,150,6370,NA
2020-02-12,144,125,6514,NA
2020-02-13,127,110,6641,NA
2020-02-14,92,78,6733,NA
2020-02-15,113,100,6846,NA
2020-02-16,144,123,6990,NA
2020-02-17,167,147,7157,NA
2020-02-18,169,149,7326,NA
2020-02-19,177,156,7503,NA
2020-02-20,179,162,7682,NA
2020-02-21,151,138,7833,NA
2020-02-22,136,114,7969,NA
2020-02-23,164,145,8133,NA
2020-02-24,236,217,8369,NA
2020-02-25,186,163,8555,NA
2020-02-26,172,147,8727,NA
2020-02-27,166,143,8893,NA
2020-02-28,137,120,9030,NA
2020-02-29,133,114,9163,NA
2020-03-01,179,159,9342,9342
2020-03-02,232,210,9574,NA
2020-03-03,257,224,9831,NA
2020-03-04,268,239,10099,NA
2020-03-05,241,212,10340,NA
2020-03-06,178,150,10518,NA
2020-03-07,159,133,10677,NA
2020-03-08,183,157,10860,NA
2020-03-09,191,172,11051,NA
2020-03-10,232,205,11283,NA
2020-03-11,179,155,11462,NA
2020-03-12,131,103,11593,NA
2020-03-13,155,131,11748,NA
2020-03-14,120,100,11868,NA
2020-03-15,135,113,12003,NA
2020-03-16,114,99,12117,NA
2020-03-17,122,99,12239,NA
2020-03-18,112,92,12351,NA
2020-03-19,153,137,12504,NA
2020-03-20,163,151,12667,NA
2020-03-21,124,104,12791,NA
2020-03-22,156,135,12947,NA
2020-03-23,324,298,13271,NA
2020-03-24,307,265,13578,NA
2020-03-25,261,227,13839,NA
2020-03-26,218,195,14057,NA
2020-03-27,230,207,14287,NA
2020-03-28,200,175,14487,NA
2020-03-29,240,212,14727,NA
2020-03-30,386,360,15113,NA
2020-03-31,452,422,15565,NA
2020-04-01,411,377,15976,15976
2020-04-02,333,305,16309,NA
2020-04-03,322,280,16631,NA
2020-04-04,241,213,16872,NA
2020-04-05,255,230,17127,NA
2020-04-06,404,364,17531,NA
2020-04-07,362,329,17893,NA
2020-04-08,328,280,18221,NA
2020-04-09,297,254,18518,NA
2020-04-10,222,181,18740,NA
2020-04-11,207,179,18947,NA
2020-04-12,252,216,19199,NA
2020-04-13,334,291,19533,NA
2020-04-14,522,463,20055,NA
2020-04-15,442,383,20497,NA
2020-04-16,387,334,20884,NA
2020-04-17,319,269,21203,NA
2020-04-18,292,245,21495,NA
2020-04-19,409,361,21904,NA
2020-04-20,465,399,22369,NA
2020-04-21,450,396,22819,NA
2020-04-22,406,354,23225,NA
2020-04-23,425,360,23650,NA
2020-04-24,402,356,24052,NA
2020-04-25,333,284,24385,NA
2020-04-26,381,324,24766,NA
2020-04-27,519,444,25285,NA
2020-04-28,551,488,25836,NA
2020-04-29,550,486,26386,NA
2020-04-30,529,447,26915,NA
2020-05-01,449,383,27364,27364
2020-05-02,340,290,27704,NA
2020-05-03,438,386,28142,NA
2020-05-04,621,543,28763,NA
2020-05-05,607,530,29370,NA
2020-05-06,617,519,29987,NA
2020-05-07,620,545,30607,NA
2020-05-08,467,408,31074,NA
2020-05-09,375,327,31449,NA
2020-05-10,515,450,31964,NA
2020-05-11,714,629,32678,NA
2020-05-12,766,680,33444,NA
2020-05-13,652,572,34096,NA
2020-05-14,605,519,34701,NA
2020-05-15,519,446,35220,NA
2020-05-16,386,328,35606,NA
2020-05-17,567,496,36173,NA
2020-05-18,686,591,36859,NA
2020-05-19,612,513,37471,NA
2020-05-20,727,628,38198,NA
2020-05-21,615,535,38813,NA
2020-05-22,475,406,39288,NA
2020-05-23,369,327,39657,NA
2020-05-24,603,523,40260,NA
2020-05-25,820,735,41080,NA
2020-05-26,778,680,41858,NA
2020-05-27,730,631,42588,NA
2020-05-28,734,647,43322,NA
2020-05-29,642,545,43964,NA
2020-05-30,449,385,44413,NA
2020-05-31,741,629,45154,NA
2020-06-01,721,617,45875,45875
2020-06-02,942,811,46817,NA
2020-06-03,845,722,47662,NA
2020-06-04,846,709,48508,NA
2020-06-05,703,616,49211,NA
2020-06-06,506,424,49717,NA
2020-06-07,573,492,50290,NA
2020-06-08,883,775,51173,NA
2020-06-09,874,748,52047,NA
2020-06-10,814,691,52861,NA
2020-06-11,780,659,53641,NA
2020-06-12,657,556,54298,NA
2020-06-13,384,328,54682,NA
2020-06-14,481,402,55163,NA
2020-06-15,814,698,55977,NA
2020-06-16,867,751,56844,NA
2020-06-17,926,819,57770,NA
2020-06-18,845,732,58615,NA
2020-06-19,667,563,59282,NA
2020-06-20,461,381,59743,NA
2020-06-21,606,510,60349,NA
2020-06-22,946,813,61295,NA
2020-06-23,925,793,62220,NA
2020-06-24,804,686,63024,NA
2020-06-25,1754,1613,64778,NA
2020-06-26,1609,1452,66387,NA
2020-06-27,867,765,67254,NA
2020-06-28,974,841,68228,NA
2020-06-29,1788,1582,70016,NA
2020-06-30,1776,1543,71792,NA
2020-07-01,1634,1412,73426,73426
2020-07-02,1229,1036,74655,NA
2020-07-03,1080,912,75735,NA
2020-07-04,832,695,76567,NA
2020-07-05,831,707,77398,NA
2020-07-06,1404,1211,78802,NA
2020-07-07,1338,1120,80140,NA
2020-07-08,1205,1012,81345,NA
2020-07-09,1125,934,82470,NA
2020-07-10,916,762,83386,NA
2020-07-11,593,490,83979,NA
2020-07-12,808,672,84787,NA
2020-07-13,1315,1131,86102,NA
2020-07-14,1140,972,87242,NA
2020-07-15,884,737,88126,NA
2020-07-16,888,744,89014,NA
2020-07-17,701,597,89715,NA
2020-07-18,541,445,90256,NA
2020-07-19,724,610,90980,NA
2020-07-20,1003,852,91983,NA
2020-07-21,921,783,92904,NA
2020-07-22,852,702,93756,NA
2020-07-23,785,653,94541,NA
2020-07-24,686,549,95227,NA
2020-07-25,562,483,95789,NA
2020-07-26,716,618,96505,NA
2020-07-27,1074,904,97579,NA
2020-07-28,996,838,98575,NA
2020-07-29,987,827,99562,NA
2020-07-30,935,761,100497,NA
2020-07-31,938,772,101435,NA
2020-08-01,591,460,102026,102026
2020-08-02,728,591,102754,NA
2020-08-03,1277,1073,104031,NA
2020-08-04,1232,1016,105263,NA
2020-08-05,1168,975,106431,NA
2020-08-06,1014,838,107445,NA
2020-08-07,884,711,108329,NA
2020-08-08,556,449,108885,NA
2020-08-09,761,642,109646,NA
2020-08-10,1345,1119,110991,NA
2020-08-11,1319,1088,112310,NA
2020-08-12,1157,971,113467,NA
2020-08-13,874,728,114341,NA
2020-08-14,776,631,115117,NA
2020-08-15,547,436,115664,NA
2020-08-16,348,269,116012,NA
